Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2022-08-30,Bitfinex,SOL/USD,32.444,33.156,30.693,31.436,636363.4543443128,,,,,,,20243.1433498
2022-08-29,Bitfinex,SOL/USD,30.425,32.669,30.009,32.444,600957.4192088002,,,,,,,18522.91391964
2022-08-28,Bitfinex,SOL/USD,31.472,32.24,30.231,30.412,469024.145118735,,,,,,,15422.33806125
2022-08-27,Bitfinex,SOL/USD,31.737,32.279,30.926,31.515,461000.14648357726,,,,,,,14627.95959015
2022-08-26,Bitfinex,SOL/USD,35.252,35.782,31.387,31.739,867444.8015707693,,,,,,,27330.56496962
2022-08-25,Bitfinex,SOL/USD,34.899,36.5,34.862,35.299,536464.3897668289,,,,,,,15197.72202518
2022-08-24,Bitfinex,SOL/USD,35.615,36.371,34.31,34.899,569531.3122993645,,,,,,,16319.41638154
2022-08-23,Bitfinex,SOL/USD,35.381,36.098,34.219,35.631,688962.0907428414,,,,,,,19336.03016314
2022-08-22,Bitfinex,SOL/USD,36.461,36.534,33.794,35.464,831233.4052473994,,,,,,,23438.79441821
2022-08-21,Bitfinex,SOL/USD,35.303,37.031,34.475,36.472,1368652.1219930733,,,,,,,37526.10556024
2022-08-20,Bitfinex,SOL/USD,35.812,37.269,34.197,35.31,1499806.025332817,,,,,,,42475.39012554
2022-08-19,Bitfinex,SOL/USD,39.505,39.543,35.057,35.809,3532914.5442350074,,,,,,,98659.96102195
2022-08-18,Bitfinex,SOL/USD,40.524,41.636,39.317,39.522,778317.7559035948,,,,,,,19693.27857658
2022-08-17,Bitfinex,SOL/USD,43.08,44.687,40.167,40.532,1450881.6943370055,,,,,,,35795.956141740004
2022-08-16,Bitfinex,SOL/USD,43.73,44.3,42.543,43.15,960018.838292598,,,,,,,22248.40876692
2022-08-15,Bitfinex,SOL/USD,44.823,47.246,42.771,43.737,1523535.118418087,,,,,,,34834.01052697
2022-08-14,Bitfinex,SOL/USD,46.594,48.073,44.39,44.798,1638767.0606751244,,,,,,,36581.25498181
2022-08-13,Bitfinex,SOL/USD,45.471,48.431,45.262,46.528,2117422.615266922,,,,,,,45508.56721258
2022-08-12,Bitfinex,SOL/USD,42.842,45.5,42.135,45.428,1368319.4532330558,,,,,,,30120.61841228
2022-08-11,Bitfinex,SOL/USD,42.467,45.295,42.371,42.745,3217722.0146699524,,,,,,,75277.15556603001
2022-08-10,Bitfinex,SOL/USD,40.301,42.849,39.144,42.473,2983033.5869726287,,,,,,,70233.6445971
