Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2021-09-08,LTC/USD,178.38,188.75,169.0,179.76,35305514.41264731,196403.6182279
2021-09-07,LTC/USD,219.5,221.92,155.21,177.96,38670374.64321028,217298.1267881
2021-09-06,LTC/USD,232.42,232.48,215.19,219.43,21135714.858955193,96320.99010598
2021-09-05,LTC/USD,212.01,232.71,210.41,232.35,44915848.197081625,193311.16073631
2021-09-04,LTC/USD,213.02,225.21,208.44,211.65,17233224.142163802,81423.21824788
2021-09-03,LTC/USD,183.34,217.74,179.76,212.86,22657127.961548734,106441.45429648
2021-09-02,LTC/USD,180.83,187.95,179.43,183.36,10850729.267222486,59177.18841199
2021-09-01,LTC/USD,171.56,182.8,168.72,181.0,9483848.73807762,52396.95435402
2021-08-31,LTC/USD,167.4,175.4,165.66,171.58,5552441.89922872,32360.65916324
2021-08-30,LTC/USD,174.41,176.57,166.54,167.54,2865312.4991319473,17102.25915681
2021-08-29,LTC/USD,175.71,182.84,173.09,174.43,4834529.209563321,27716.15667926
2021-08-28,LTC/USD,176.41,177.25,171.31,175.59,2831108.5491583366,16123.40423235
2021-08-27,LTC/USD,167.64,176.43,165.09,176.36,3869934.141016627,21943.37798263
2021-08-26,LTC/USD,177.76,180.21,165.14,167.59,3970920.094277593,23694.25439631
2021-08-25,LTC/USD,173.39,179.07,169.17,177.61,3693759.8226502473,20797.02619588
2021-08-24,LTC/USD,187.19,188.7,172.28,173.57,12358861.896125412,71203.90560653
2021-08-23,LTC/USD,185.98,191.73,183.64,187.34,5179872.493350182,27649.58094027
2021-08-22,LTC/USD,179.77,189.84,178.54,185.98,6596191.867202598,35467.21081408
2021-08-21,LTC/USD,183.69,184.6,176.69,179.54,4284416.355303251,23863.29706641
